Name,Website,Industry,Country,Funding_Amount_USD,Funding_Type,Last_Funding_Date
Quickads,quickads.ai,"Advertising, Marketing, Artificial Intelligence",Singapore,Nov 2025,"$1,700,000",Seed
Infinite Orbits,infiniteorbits.io,Aerospace,Singapore,Nov 2025,"$18,490,483",Series B
SpaceComputer,spacecomputer.io,"Aerospace, Blockchain, Cyber Security",Singapore,Nov 2025,"$10,000,000",Seed
WIZ.AI,wiz.ai,"Artificial Intelligence, B2B Software",Singapore,Nov 2025,,Series B
GreenFi,greenfi.ai,"Artificial Intelligence, B2B Software, Data, Environment, Finance",Singapore,Nov 2025,"$2,000,000",Seed
Videotto,videotto.com,"Artificial Intelligence, B2B Software, Marketing, Media",Singapore,Nov 2025,,Seed
Ourteam,ourteam.ai,"Artificial Intelligence, Recruiting, B2B Software",Singapore,Nov 2025,,Pre-Seed
Gyges Labs,gygeslabs.com,"Artificial Intelligence, Wearables",Singapore,Nov 2025,,Seed
CloudMile,mile.cloud,"Cloud Computing, Artificial Intelligence, Data",Singapore,Nov 2025,"$20,000,000",Venture - Series Unknown
Sedifly,sedifly.com,Education,Singapore,Nov 2025,,Pre-Seed
Lightspeed Photonics,lightspeedphotonics.com,"Electronics, Telecommunications",Singapore,Nov 2025,"$6,500,000",Seed
Berkeley Energy Commercial Industrial Solutions (BECIS),be-cis.com,Energy,Singapore,Nov 2025,"$20,000,000",Private Equity
HYDGEN,hyd-gen.com,"Energy, Chemicals, Manufacturing",Singapore,Nov 2025,"$5,000,000",Seed
Alba Renewables,alba-renewables.com,"Energy, Environment",Singapore,Nov 2025,,Convertible Note
Amperesand,amperesand.io,"Energy, Hardware, Manufacturing, Artificial Intelligence",Singapore,Nov 2025,"$80,000,000",Series A
Blue Planet Environmental Solution,blueplanet.asia,Environment,Singapore,Nov 2025,,Private Equity
ZAR,zar.app,"FinTech, Finance",Singapore,Nov 2025,"$12,900,000",Venture - Series Unknown
RockFlow,rockflow.ai,"FinTech, Finance, Artificial Intelligence",Singapore,Nov 2025,,Venture - Series Unknown
ZAR,zar.app,"FinTech, Finance, Blockchain",Singapore,Nov 2025,"$12,900,000",Seed
PowerCred,powercred.io,"FinTech, Finance, Data",Singapore,Nov 2025,"$1,100,000",Seed
Paywatch,paywatchglobal.com,"FinTech, Finance, Human Resources",Singapore,Nov 2025,"$20,000,000",Series A
Umami United,umamiunited.com,"Food and Beverage, Agriculture",Singapore,Nov 2025,"$20,263,636",Seed
Wizzwoods,wizzwoods.com,"Gaming, Blockchain, Social Network",Singapore,Nov 2025,"$10,000,000",Series A
Bioactivx,bioactivx.com,"Healthcare, Biotechnology",Singapore,Nov 2025,"$1,425,000",Seed
Moon Technologies,moontechnologies.com,"Healthcare, Hardware",Singapore,Nov 2025,"$2,600,000",Venture - Series Unknown
